iter	Passed	Remaining
0	65	19700
1	71	10675
2	78	7743
3	85	6303
4	91	5399
5	97	4797
6	104	4368
7	110	4017
8	116	3754
9	122	3556
10	128	3383
11	134	3225
12	139	3087
13	145	2965
14	150	2859
15	155	2767
16	161	2683
17	166	2611
18	172	2548
19	177	2489
20	182	2429
21	188	2384
22	194	2337
23	199	2294
24	204	2254
25	210	2218
26	215	2180
27	221	2146
28	226	2112
29	231	2082
30	236	2055
31	241	2025
32	247	2001
33	252	1976
34	257	1950
35	262	1924
36	267	1903
37	272	1878
38	277	1855
39	282	1834
40	287	1815
41	292	1798
42	297	1778
43	302	1760
44	307	1742
45	312	1726
46	317	1710
47	322	1694
48	327	1679
49	332	1664
50	337	1647
51	342	1633
52	347	1618
53	352	1605
54	357	1592
55	362	1579
56	368	1572
57	374	1562
58	379	1552
59	385	1542
60	391	1533
61	396	1521
62	401	1509
63	406	1497
64	411	1486
65	416	1476
66	421	1464
67	426	1453
68	431	1443
69	436	1432
70	441	1423
71	446	1413
72	451	1403
73	456	1394
74	462	1386
75	467	1378
76	474	1374
77	480	1368
78	486	1360
79	491	1352
80	496	1342
81	501	1333
82	506	1324
83	511	1316
84	516	1307
85	521	1298
86	526	1290
87	531	1281
88	536	1272
89	541	1263
90	546	1254
91	551	1245
92	556	1237
93	560	1228
94	565	1220
95	570	1212
96	575	1204
97	580	1197
98	585	1189
99	590	1180
100	595	1172
101	600	1165
102	605	1157
103	610	1149
104	614	1141
105	619	1133
106	624	1125
107	629	1118
108	633	1110
109	638	1103
110	643	1096
111	648	1088
112	653	1081
113	658	1074
114	663	1067
115	668	1059
116	673	1052
117	678	1045
118	682	1038
119	687	1031
120	692	1024
121	697	1017
122	702	1010
123	707	1003
124	712	996
125	716	990
126	721	983
127	726	976
128	731	969
129	736	962
130	740	955
131	745	949
132	750	942
133	755	935
134	760	929
135	765	922
136	770	916
137	774	909
138	779	903
139	784	896
140	789	890
141	794	883
142	799	877
143	803	870
144	808	864
145	813	857
146	818	851
147	823	845
148	828	839
149	832	832
150	837	826
151	842	820
152	847	814
153	852	808
154	857	801
155	862	795
156	866	789
157	871	783
158	876	777
159	881	771
160	886	765
161	891	759
162	895	752
163	900	747
164	905	740
165	910	734
166	915	728
167	919	722
168	924	716
169	929	710
170	934	704
171	939	698
172	944	693
173	948	687
174	954	681
175	959	675
176	964	669
177	968	664
178	973	658
179	978	652
180	983	646
181	988	640
182	993	634
183	997	628
184	1002	622
185	1006	616
186	1011	611
187	1015	605
188	1020	599
189	1026	594
190	1030	588
191	1035	582
192	1040	576
193	1045	571
194	1050	565
195	1055	559
196	1060	554
197	1065	548
198	1070	543
199	1074	537
200	1079	531
201	1084	526
202	1089	520
203	1094	514
204	1099	509
205	1103	503
206	1108	498
207	1113	492
208	1118	487
209	1123	481
210	1128	475
211	1132	470
212	1137	464
213	1142	459
214	1147	453
215	1152	448
216	1157	442
217	1162	437
218	1167	431
219	1172	426
220	1177	420
221	1182	415
222	1187	410
223	1192	404
224	1198	399
225	1204	394
226	1209	389
227	1215	383
228	1221	378
229	1227	373
230	1232	368
231	1237	362
232	1243	357
233	1248	352
234	1253	346
235	1258	341
236	1263	335
237	1268	330
238	1273	325
239	1278	319
240	1282	314
241	1287	308
242	1292	303
243	1297	297
244	1302	292
245	1307	286
246	1311	281
247	1316	275
248	1321	270
249	1325	265
250	1331	259
251	1335	254
252	1340	249
253	1345	243
254	1350	238
255	1355	232
256	1360	227
257	1365	222
258	1369	216
259	1374	211
260	1380	206
261	1384	200
262	1389	195
263	1395	190
264	1400	184
265	1405	179
266	1410	174
267	1415	169
268	1420	163
269	1425	158
270	1430	153
271	1434	147
272	1439	142
273	1445	137
274	1450	131
275	1455	126
276	1460	121
277	1465	115
278	1470	110
279	1475	105
280	1480	100
281	1485	94
282	1490	89
283	1495	84
284	1501	79
285	1505	73
286	1510	68
287	1516	63
288	1521	57
289	1525	52
290	1530	47
291	1536	42
292	1540	36
293	1545	31
294	1550	26
295	1555	21
296	1560	15
297	1565	10
298	1570	5
299	1575	0
