configuracion,recall_medio,recall_desv,recall_minimo,segundos,pliegue_1,pliegue_2,pliegue_3,n_estimators,learning_rate,num_leaves,max_depth,min_child_samples,subsample,colsample_bytree,reg_lambda,scale_pos_weight
1,0.393846817744532,0.0203686815774304,0.3693304535637149,75.97997903823853,0.4192021636240703,0.3693304535637149,0.3930078360458107,969,0.0142619592289396,102,6,711,0.6727299868828402,0.6668543055695109,46.22589001020831,3.357296705351792
8,0.3913782615747921,0.0156353891722312,0.3693304535637149,89.43566298484802,0.400946585530764,0.3693304535637149,0.4038577456298975,1276,0.0262695868041945,38,5,928,0.8170784332632994,0.6626651653816322,5.170191786366991,4.964881017106655
22,0.3911948577553012,0.018742615889521,0.3736501079913606,84.71336150169373,0.4171737660581474,0.3736501079913606,0.3827606992163954,1347,0.012515235511067,73,4,250,0.8363571772752967,0.7678873420373793,2.360679457281306,1.2618419742822211
35,0.387044548725697,0.0236041815455549,0.3542116630669546,92.85580468177795,0.3982420554428668,0.3542116630669546,0.4086799276672694,1053,0.0127312500964408,37,11,992,0.9509492287711822,0.7850305850446825,1.906198091855399,19.229385181465737
12,0.3861987728421434,0.0236439798194033,0.3531317494600432,51.711554288864136,0.4070317782285328,0.3531317494600432,0.3984327908378541,842,0.0403351224428809,15,6,662,0.7024273291045295,0.6373608964950321,27.76253009443832,3.8420521946963135
7,0.385641742551928,0.019416571200603,0.3585313174946004,72.83384275436401,0.4029749830966869,0.3585313174946004,0.3954189270644966,1015,0.0305749831287496,29,5,319,0.6180909155642152,0.9211423872974992,1.5030900645056815,3.058252321378966
28,0.3853398412302213,0.0151691980158305,0.3639308855291576,120.47246742248537,0.3948613928329952,0.3639308855291576,0.3972272453285111,1021,0.0202489352340078,49,9,387,0.8848716885390143,0.9868319183776586,20.133650202440467,3.593703753553801
39,0.3820476266978438,0.0206890685275677,0.355291576673866,39.29954719543457,0.4056795131845842,0.355291576673866,0.3851717902350813,504,0.0203812091415596,66,5,619,0.8148329708786621,0.7713223173537883,1.1958300672269888,5.639303290130122
26,0.3800952225976131,0.0080536483441062,0.3704103671706263,69.30279803276062,0.3901284651791751,0.3704103671706263,0.379746835443038,1015,0.0159826641045984,94,4,148,0.9119502183430496,0.94131817159467,62.261634823634616,157.55080855269668
27,0.3794481404202561,0.0149821934721881,0.3585313174946004,40.65350866317749,0.3928329952670723,0.3585313174946004,0.3869801084990958,303,0.012325435469594,98,11,469,0.9760533769831112,0.8210158230771438,14.50017497277009,8.359678082952966
10,0.3761638577916844,0.0088832144151655,0.3650107991360691,39.01545286178589,0.3867478025693036,0.3650107991360691,0.3767329716696805,578,0.0585688767289932,19,6,338,0.9659838702175124,0.5994212020444025,71.2199651830162,41.0012161192394
23,0.3751919504656471,0.0159938028809609,0.357451403887689,31.795424222946167,0.3962136578769439,0.357451403887689,0.3719107896323086,346,0.0104208051123667,34,6,560,0.8763750952409863,0.8387821809211412,19.51396765593445,2.7035025739687875
