metrica,modelo_a,modelo_b,n_incendios,recall_a,recall_b,diferencia,dif_ci90_low,dif_ci90_high,concluyente,ambos,ninguno,mcnemar_p,veredicto,solo_a,solo_b
recall@fpr5,lightgbm,random_forest,1659,0.39059674502712477,0.31464737793851716,0.07594936708860761,0.05786618444846292,0.09463532248342371,True,416,905,6.029801465515235e-12,lightgbm mejor,232,106
recall@fpr5,lightgbm,logistic_regression,1659,0.39059674502712477,0.31645569620253167,0.0741410488245931,0.054249547920434016,0.09282700421940926,True,393,879,4.012948401985432e-10,lightgbm mejor,255,132
recall@fpr5,xgboost,random_forest,1659,0.3622664255575648,0.31464737793851716,0.047619047619047616,0.030741410488245968,0.0638939119951778,True,425,961,2.010241594091913e-06,xgboost mejor,176,97
recall@fpr5,xgboost,logistic_regression,1659,0.3622664255575648,0.31645569620253167,0.04581072935503311,0.02893309222423146,0.06208559373116335,True,412,945,1.442843234555632e-05,xgboost mejor,189,113
recall@fpr5,lightgbm,xgboost,1659,0.39059674502712477,0.3622664255575648,0.028330319469559995,0.013261000602772795,0.042796865581675725,True,518,928,0.0015611343304454107,lightgbm mejor,130,83
recall@fpr5,logistic_regression,random_forest,1659,0.31645569620253167,0.31464737793851716,0.001808318264014508,-0.01687763713080165,0.02049427365883061,False,351,963,0.9142728843946686,no concluyente,174,171
recall@top1%/día,lightgbm,random_forest,1659,0.07474382157926461,0.03496081977094635,0.03978300180831826,0.028933092224231467,0.05063291139240507,True,29,1506,2.2046448923655844e-09,lightgbm mejor,95,29
recall@top1%/día,lightgbm,logistic_regression,1659,0.07474382157926461,0.040988547317661245,0.033755274261603366,0.02109704641350211,0.046413502109704644,True,17,1484,9.897723254441731e-06,lightgbm mejor,107,51
recall@top1%/día,xgboost,random_forest,1659,0.06751054852320675,0.03496081977094635,0.03254972875226039,0.02230259192284509,0.042796865581675704,True,28,1517,4.253744081497799e-07,xgboost mejor,84,30
recall@top1%/día,xgboost,logistic_regression,1659,0.06751054852320675,0.040988547317661245,0.0265220012055455,0.014466546112115737,0.03797468354430379,True,23,1502,0.00018013760354172802,xgboost mejor,89,45
recall@top1%/día,lightgbm,xgboost,1659,0.07474382157926461,0.06751054852320675,0.007233273056057865,-0.0024110910186859597,0.01748040988547317,False,70,1493,0.26146943628638797,no concluyente,54,42
recall@top1%/día,logistic_regression,random_forest,1659,0.040988547317661245,0.03496081977094635,0.006027727546714892,-0.0036166365280289325,0.0162748643761302,False,13,1546,0.36820161732669576,no concluyente,55,45
