variable,caida_media,caida_desv,auc_base
precipitation_sum_3d,0.026450608901299022,0.00111840928766331,0.8577834835199409
relative_humidity_mean_7d,0.02164468810946581,0.0031381175528471016,0.8577834835199409
elevation_mean,0.011965080340784398,0.0007990322931329451,0.8577834835199409
vpd_mean,0.010824120184582009,0.0020379575690435583,0.8577834835199409
road_length_local_km,0.010552500612214985,0.0004580176692846621,0.8577834835199409
precipitation_sum_7d,0.010164441232615173,0.0002564527821826204,0.8577834835199409
vpd_max_12_18h,0.006889341098879694,0.0005493307444448539,0.8577834835199409
agriculture,0.00642996993921896,0.0009202006885962416,0.8577834835199409
scrub,0.004759618119686134,8.913942373370576e-05,0.8577834835199409
temperature_max,0.00439850392950573,0.0006567317079499253,0.8577834835199409
temperature_mean_7d,0.004082042910017569,0.0007498228635197763,0.8577834835199409
relative_humidity_mean,0.0035253944847709238,0.0015741638172696814,0.8577834835199409
relative_humidity_mean_14d,0.002648086309060623,0.00017222169582756697,0.8577834835199409
residential_area_fraction,0.0023263835405054056,6.650117063472448e-05,0.8577834835199409
road_length_main_km,0.0022802774756024435,0.0003514259662202273,0.8577834835199409
road_length_km,0.002266681584824496,0.00029914340186943923,0.8577834835199409
slope_mean,0.0021556684707613183,0.00027347583822484193,0.8577834835199409
temperature_min,0.002140049857997576,0.0005196363234474438,0.8577834835199409
coniferous_forest,0.001956725266022308,0.0005785259810706714,0.8577834835199409
relative_humidity_min,0.0019189966691134004,0.0003466290149846729,0.8577834835199409
temperature_max_12_18h,0.0017666660428552101,0.0004890456121781492,0.8577834835199409
precipitation_sum_30d,0.0015656867868255968,0.00044800565470626123,0.8577834835199409
precipitation_sum_14d,0.0015384383557247212,0.0007278425197492167,0.8577834835199409
relative_humidity_min_12_18h,0.0014216503204071973,0.0005299574466349034,0.8577834835199409
wind_speed_max,0.0011130136027686828,0.0003622052340322928,0.8577834835199409
aspect_090_135_fraction,0.000980876873107217,8.660857408635384e-05,0.8577834835199409
aspect_225_270_fraction,0.0009313251829433655,0.00014862656086884297,0.8577834835199409
aspect_315_360_fraction,0.0009205417754538278,0.00010443198163436928,0.8577834835199409
aspect_045_090_fraction,0.0006840165961573182,0.0001254334377413954,0.8577834835199409
wind_speed_mean_7d,0.0006779184392641987,0.0001132345690774595,0.8577834835199409
wind_speed_max_12_18h,0.0006734931101090395,0.00016039144191713975,0.8577834835199409
broadleaf_forest,0.0006506700081633602,6.838393496081463e-05,0.8577834835199409
wind_speed_mean,0.0006271804409834955,0.0004043226657834623,0.8577834835199409
elevation_std,0.0006216887674535728,0.0003338508289001037,0.8577834835199409
aspect_135_180_fraction,0.0004977462278467811,0.00023387718184499274,0.8577834835199409
road_length_track_km,0.0004523799393537642,9.114751188425544e-05,0.8577834835199409
artificial,0.00045051716902411165,9.331357223842654e-05,0.8577834835199409
temperature_mean,0.0004152711551128248,0.0005707562659764598,0.8577834835199409
open_spaces,0.00030262186889965886,9.257647254365205e-05,0.8577834835199409
building_area_fraction,0.0002557060487371106,0.00026858162299394587,0.8577834835199409
mixed_forest,0.0001539801277128013,2.432263342840505e-05,0.8577834835199409
slope_std,0.00015167082567631626,0.00026718835685314823,0.8577834835199409
aspect_180_225_fraction,0.0001409140767960985,0.00016205197644238097,0.8577834835199409
aspect_000_045_fraction,3.646564528999215e-05,0.00036261333789085946,0.8577834835199409
road_length_other_km,0.0,0.0,0.8577834835199409
wetlands,-3.837840051231408e-05,5.3701319517898996e-05,0.8577834835199409
water,-9.210882769457769e-05,7.568803446135861e-05,0.8577834835199409
aspect_270_315_fraction,-0.00027129133823922125,0.00015490084368142992,0.8577834835199409
