bin,pred_media,obs_frecuencia,n
0,1.5575988778942059e-06,0.0,900358
1,2.4761809041644763e-06,0.0,900364
2,4.3326030119580805e-06,2.2213114845135717e-06,900369
3,8.045996229914293e-06,6.6639714604315585e-06,900364
4,1.5057108197561204e-05,1.554926674100697e-05,900364
5,2.5511001232532793e-05,3.9983873171154304e-05,900363
6,3.9780958091794345e-05,4.664780022302091e-05,900364
7,6.061392101701528e-05,9.884890999640146e-05,900364
8,9.243042001535207e-05,0.00013105825094989466,900363
9,0.00014441671931096596,0.00022435370583452914,900364
10,0.0002452461802020179,0.00032986658729136214,900364
11,0.0006890661864614162,0.0009473946092913533,900364
