experimento,fecha,commit,dataset,n_predictores_dataset,n_variables,derivadas,conjunto,anio_validacion,anios_train,gap_train_val,mejor_iteracion,modelo,modulo_negativos,resto_negativos,segundos,test_evaluado,train_roc_auc,val_brier_score,val_fpr_achieved,val_lift_vs_azar,val_n_positives,val_n_rows,val_pr_auc,val_prevalence,val_recall_at_fpr5,val_recall_at_top1%_daily,val_recall_at_top1%_daily_ci90_high,val_recall_at_top1%_daily_ci90_low,val_recall_ci90_high,val_recall_ci90_low,val_roc_auc,val_threshold_at_fpr
egif_v1_vecindad,2026-09-06 18:38,7db219a+sucio,egif,47,69,True,(todas),2022,2019-2020-2021,0.07452735531992527,669.0,lightgbm,25,0,166.4,False,0.9617320277506327,0.00015334023901927144,0.04999997222918035,14.99733472160744,1659,10804365,0.0023028265245710177,0.0001535490517027146,0.4472573839662447,0.09282700421940929,0.10608800482218204,0.081374321880651,0.46835443037974683,0.42793851717902354,0.8872046724307074,0.01585840992629528
v1_dataset54,2026-08-26 16:57,81dab96+sucio,egif_v0_54vars,54,54,False,(todas),2022,2019-2020-2021,0.0749702069165092,511.0,lightgbm,25,0,89.4,False,0.9445862236389024,0.0001534170801515,0.0500000647985791,8.891356746687743,1659,10804365,0.0013652593968044,0.0001535490517027,0.379746835443038,0.0741410488245931,,,0.4008438818565401,0.3604581072935503,0.8696160167223933,0.0147079681046307
v1_dataset54,2026-08-26 16:57,81dab96+sucio,egif_v0_54vars,54,54,False,(todas),2022,2019-2020-2021,0.0123862858553874,,logistic_regression,25,0,33.6,False,0.8554043206998388,0.0001534667882254,0.0499999722291803,5.138265592435013,1659,10804365,0.000788975809115,0.0001535490517027,0.3146473779385171,0.0307414104882459,,,0.3351416515973478,0.2953586497890295,0.8430180348444514,0.8500821590423584
v1_dataset54,2026-08-26 16:57,81dab96+sucio,egif_v0_54vars,54,54,False,(todas),2022,2019-2020-2021,0.1378406246478876,,random_forest,25,0,256.4,False,0.9864503903877752,0.0001534612007529,0.0500000647985791,5.6021661985942925,1659,10804365,0.0008602073072751,0.0001535490517027,0.3146473779385171,0.0427968655816757,,,0.3345388788426763,0.295961422543701,0.8486097657398876,0.4640239849686622
v1_dataset54,2026-08-26 16:57,81dab96+sucio,egif_v0_54vars,54,54,False,(todas),2022,2019-2020-2021,0.049214835808552,560.0,xgboost,25,0,80.9,False,0.9152548308126972,0.0001534277702856,0.0500000647985791,8.094267361360288,1659,10804365,0.0012428670775651,0.0001535490517027,0.3688969258589512,0.0699216395418927,,,0.3887884267631103,0.3496081977094635,0.8660399950041451,0.0150447688065469
v1_derivadas66,2026-08-26 16:57,81dab96+sucio,egif_v0_54vars,54,66,True,(todas),2022,2019-2020-2021,0.0780077216767218,538.0,lightgbm,25,0,87.6,False,0.9493405327014788,0.0001534154627543,0.0500000647985791,9.040123470444923,1659,10804365,0.0013881023861622,0.0001535490517027,0.3863773357444243,0.0747438215792646,,,0.4068716094032549,0.3670886075949367,0.871332811024757,0.0145223145373165
v1_derivadas66,2026-08-26 16:57,81dab96+sucio,egif_v0_54vars,54,66,True,(todas),2022,2019-2020-2021,0.0192906102329096,,logistic_regression,25,0,83.6,False,0.8629744631445578,0.0001534620204246,0.0499999722291803,5.596724475809177,1659,10804365,0.0008593717359018,0.0001535490517027,0.3050030138637734,0.0403857745629897,,,0.323086196503918,0.2862869198312236,0.8436838529116482,0.8306227326393127
v1_derivadas66,2026-08-26 16:57,81dab96+sucio,egif_v0_54vars,54,66,True,(todas),2022,2019-2020-2021,0.1368555719224274,,random_forest,25,0,454.1,False,0.9863184635191082,0.0001534616305883,0.0500000647985791,5.469776246688829,1659,10804365,0.0008398789557051,0.0001535490517027,0.3194695599758891,0.0367691380349608,,,0.3393610608800482,0.3013863773357444,0.8494628915966808,0.4679656997323036
v1_derivadas66,2026-08-26 16:57,81dab96+sucio,egif_v0_54vars,54,66,True,(todas),2022,2019-2020-2021,0.0751408196553944,1343.0,xgboost,25,0,217.3,False,0.9436002325718504,0.00015342285144,0.0499999722291803,8.413798176304008,1659,10804365,0.0012919307311895,0.0001535490517027,0.373719107896323,0.0705244122965642,,,0.3936407474382157,0.353827606992164,0.868459412916456,0.0155599489808082
v1_top30,2026-08-26 16:57,81dab96+sucio,egif_v0_54vars,54,30,True,top30,2022,2019-2020-2021,0.0644427299455431,433.0,lightgbm,25,0,63.7,False,0.9354452173933148,0.0001537002048961,0.0500000647985791,9.27745272665516,1659,10804365,0.0014245440683946,0.0001535490517027,0.3954189270644966,0.0620855937311633,0.0717299578059071,0.051838456901748,0.4159132007233273,0.3767028330319469,0.8710024874477716,0.0147057313006371
