k,metrica_n_rows,metrica_n_positives,metrica_prevalence,metrica_pr_auc,metrica_lift_vs_azar,metrica_roc_auc,metrica_recall_at_fpr5,metrica_recall_ci90_low,metrica_recall_ci90_high,metrica_threshold_at_fpr,metrica_fpr_achieved,metrica_recall_at_top1%_daily,metrica_recall_at_top1%_daily_ci90_low,metrica_recall_at_top1%_daily_ci90_high,metrica_brier_score,metrica_segundos,recall_at_fpr5,ic_bajo,ic_alto,roc_auc,pr_auc,variables
5,10804365,1659,0.0001535490517027146,0.0009160365494361542,5.965758428841926,0.8358244712705696,0.3176612417118746,0.29897528631705844,0.33755274261603374,0.010063547641038895,0.04999599174503129,0.04038577456298975,0.033152501506931886,0.048824593128390596,,17.3,0.3176612417118746,0.29897528631705844,0.33755274261603374,0.8358244712705696,0.0009160365494361542,"precipitation_sum_3d, relative_humidity_mean_7d, road_length_local_km, elevation_mean, precipitation_sum_14d"
8,10804365,1659,0.0001535490517027146,0.0010235086391481962,6.665678672700664,0.8535196416312107,0.3471971066907776,0.32790837854128996,0.3659132007233273,0.012599020963534713,0.05000006479857917,0.050030138637733576,0.042163954189270644,0.05907172995780591,,19.2,0.3471971066907776,0.32790837854128996,0.3659132007233273,0.8535196416312107,0.0010235086391481962,"precipitation_sum_3d, relative_humidity_mean_7d, road_length_local_km, elevation_mean, precipitation_sum_14d, vpd_mean, precipitation_sum_30d, agriculture"
12,10804365,1659,0.0001535490517027146,0.001122165929508384,7.308191858332038,0.8555351623496017,0.3471971066907776,0.3285111512959614,0.3653104279686558,0.012489931657910347,0.05000006479857917,0.05485232067510549,0.04581072935503315,0.06389391199517781,,19.5,0.3471971066907776,0.3285111512959614,0.3653104279686558,0.8555351623496017,0.001122165929508384,"precipitation_sum_3d, relative_humidity_mean_7d, road_length_local_km, elevation_mean, precipitation_sum_14d, vpd_mean, precipitation_sum_30d, agriculture, wind_speed_max_anom, precipitation_sum, relative_humidity_min, scrub"
16,10804365,1659,0.0001535490517027146,0.0012691385146934248,8.265362114711046,0.8679113651090873,0.38095238095238093,0.3616636528028933,0.4032851115129596,0.014331386424601078,0.05000006479857917,0.060880048221820374,0.05063291139240506,0.0699216395418927,,28.4,0.38095238095238093,0.3616636528028933,0.4032851115129596,0.8679113651090873,0.0012691385146934248,"precipitation_sum_3d, relative_humidity_mean_7d, road_length_local_km, elevation_mean, precipitation_sum_14d, vpd_mean, precipitation_sum_30d, agriculture, wind_speed_max_anom, precipitation_sum, relative_humidity_min, scrub, temperature_mean_7d, temperature_max_12_18h, road_length_main_km, slope_mean"
20,10804365,1659,0.0001535490517027146,0.0014640213879542174,9.534551804257967,0.8692250074597796,0.38758288125376733,0.3670886075949367,0.40991561181434594,0.014526946702972054,0.05000006479857917,0.07112718505123568,0.06027727546714889,0.0807715491259795,,33.5,0.38758288125376733,0.3670886075949367,0.40991561181434594,0.8692250074597796,0.0014640213879542174,"precipitation_sum_3d, relative_humidity_mean_7d, road_length_local_km, elevation_mean, precipitation_sum_14d, vpd_mean, precipitation_sum_30d, agriculture, wind_speed_max_anom, precipitation_sum, relative_humidity_min, scrub, temperature_mean_7d, temperature_max_12_18h, road_length_main_km, slope_mean, road_length_km, aspect_315_360_fraction, vpd_max_12_18h, relative_humidity_min_anom"
25,10804365,1659,0.0001535490517027146,0.0015996424613109216,10.417794467451222,0.8732567156584848,0.40325497287522605,0.38396624472573837,0.4255575647980711,0.01419244147837162,0.04999997222918035,0.07112718505123568,0.06027727546714889,0.08140446051838454,,32.2,0.40325497287522605,0.38396624472573837,0.4255575647980711,0.8732567156584848,0.0015996424613109216,"precipitation_sum_3d, relative_humidity_mean_7d, road_length_local_km, elevation_mean, precipitation_sum_14d, vpd_mean, precipitation_sum_30d, agriculture, wind_speed_max_anom, precipitation_sum, relative_humidity_min, scrub, temperature_mean_7d, temperature_max_12_18h, road_length_main_km, slope_mean, road_length_km, aspect_315_360_fraction, vpd_max_12_18h, relative_humidity_min_anom, slope_std, temperature_max_anom, residential_area_fraction, aspect_000_045_fraction, aspect_180_225_fraction"
30,10804365,1659,0.0001535490517027146,0.0015093513508226788,9.829766671206313,0.8704812699237084,0.3857745629897529,0.36588306208559374,0.40629897528631703,0.014610476791858673,0.05000006479857917,0.06871609403254973,0.05846895720313442,0.07956600361663653,,35.5,0.3857745629897529,0.36588306208559374,0.40629897528631703,0.8704812699237084,0.0015093513508226788,"precipitation_sum_3d, relative_humidity_mean_7d, road_length_local_km, elevation_mean, precipitation_sum_14d, vpd_mean, precipitation_sum_30d, agriculture, wind_speed_max_anom, precipitation_sum, relative_humidity_min, scrub, temperature_mean_7d, temperature_max_12_18h, road_length_main_km, slope_mean, road_length_km, aspect_315_360_fraction, vpd_max_12_18h, relative_humidity_min_anom, slope_std, temperature_max_anom, residential_area_fraction, aspect_000_045_fraction, aspect_180_225_fraction, forestal, relative_humidity_mean, temperature_mean, temperature_min, dia_anio_cos"
40,10804365,1659,0.0001535490517027146,0.001585612768703,10.326425016110782,0.8719237965535144,0.4002411091018686,0.38034960819770947,0.4207353827606992,0.014043150003999472,0.05000006479857917,0.07896323086196504,0.06751054852320675,0.09041591320072333,,46.6,0.4002411091018686,0.38034960819770947,0.4207353827606992,0.8719237965535144,0.001585612768703,"precipitation_sum_3d, relative_humidity_mean_7d, road_length_local_km, elevation_mean, precipitation_sum_14d, vpd_mean, precipitation_sum_30d, agriculture, wind_speed_max_anom, precipitation_sum, relative_humidity_min, scrub, temperature_mean_7d, temperature_max_12_18h, road_length_main_km, slope_mean, road_length_km, aspect_315_360_fraction, vpd_max_12_18h, relative_humidity_min_anom, slope_std, temperature_max_anom, residential_area_fraction, aspect_000_045_fraction, aspect_180_225_fraction, forestal, relative_humidity_mean, temperature_mean, temperature_min, dia_anio_cos, aspect_270_315_fraction, aspect_225_270_fraction, wind_speed_max_z_dia, elevation_std, precipitation_sum_7d_anom, vpd_x_forestal, coniferous_forest, broadleaf_forest, aspect_135_180_fraction, precipitation_sum_7d"
50,10804365,1659,0.0001535490517027146,0.0016691981845761807,10.870781460818822,0.8712222895793772,0.3960216998191682,0.375497287522604,0.4171488848704038,0.014148727525025606,0.05000006479857917,0.08499095840867993,0.07414104882459313,0.09644364074743822,,51.1,0.3960216998191682,0.375497287522604,0.4171488848704038,0.8712222895793772,0.0016691981845761807,"precipitation_sum_3d, relative_humidity_mean_7d, road_length_local_km, elevation_mean, precipitation_sum_14d, vpd_mean, precipitation_sum_30d, agriculture, wind_speed_max_anom, precipitation_sum, relative_humidity_min, scrub, temperature_mean_7d, temperature_max_12_18h, road_length_main_km, slope_mean, road_length_km, aspect_315_360_fraction, vpd_max_12_18h, relative_humidity_min_anom, slope_std, temperature_max_anom, residential_area_fraction, aspect_000_045_fraction, aspect_180_225_fraction, forestal, relative_humidity_mean, temperature_mean, temperature_min, dia_anio_cos, aspect_270_315_fraction, aspect_225_270_fraction, wind_speed_max_z_dia, elevation_std, precipitation_sum_7d_anom, vpd_x_forestal, coniferous_forest, broadleaf_forest, aspect_135_180_fraction, precipitation_sum_7d, precipitation_sum_7d_z_dia, aspect_090_135_fraction, aspect_045_090_fraction, temperature_max_z_dia, dia_anio_sin, road_length_track_km, wind_speed_max_12_18h, wind_speed_mean, es_finde, building_area_fraction"
58,10804365,1659,0.0001535490517027146,0.001533606598095278,9.987730833170398,0.8706436759870403,0.38396624472573837,0.3640747438215793,0.4062688366485835,0.014126573922112584,0.05000006479857917,0.08016877637130802,0.06871609403254973,0.0916214587100663,,53.0,0.38396624472573837,0.3640747438215793,0.4062688366485835,0.8706436759870403,0.001533606598095278,"precipitation_sum_3d, relative_humidity_mean_7d, road_length_local_km, elevation_mean, precipitation_sum_14d, vpd_mean, precipitation_sum_30d, agriculture, wind_speed_max_anom, precipitation_sum, relative_humidity_min, scrub, temperature_mean_7d, temperature_max_12_18h, road_length_main_km, slope_mean, road_length_km, aspect_315_360_fraction, vpd_max_12_18h, relative_humidity_min_anom, slope_std, temperature_max_anom, residential_area_fraction, aspect_000_045_fraction, aspect_180_225_fraction, forestal, relative_humidity_mean, temperature_mean, temperature_min, dia_anio_cos, aspect_270_315_fraction, aspect_225_270_fraction, wind_speed_max_z_dia, elevation_std, precipitation_sum_7d_anom, vpd_x_forestal, coniferous_forest, broadleaf_forest, aspect_135_180_fraction, precipitation_sum_7d, precipitation_sum_7d_z_dia, aspect_090_135_fraction, aspect_045_090_fraction, temperature_max_z_dia, dia_anio_sin, road_length_track_km, wind_speed_max_12_18h, wind_speed_mean, es_finde, building_area_fraction, artificial, wetlands, open_spaces, ratio_termico_eolico, water, mixed_forest, wind_speed_max, relative_humidity_min_z_dia"
