variable,auc,fuerza,nulos_pct,caida_media,caida_desv,descartada_porque
precipitation_sum_3d,0.23269092856107945,0.2673090714389206,0.0,0.022963650650050422,0.0015738789123002422,
relative_humidity_mean_7d,0.20171161389180892,0.2982883861081911,0.0,0.015878665585943124,0.0012253783596465838,
road_length_local_km,0.5918924492468918,0.09189244924689177,0.0,0.010576878255688316,0.0009811298551601999,
elevation_mean,0.47738997873694855,0.02261002126305145,0.0,0.009011265149069284,0.0006544043652957403,
precipitation_sum_14d,0.2185727988811273,0.2814272011188727,0.0,0.006041885308813259,0.0009177474845682019,
vpd_mean,0.7911793620082679,0.2911793620082679,0.0,0.0053192172758812495,0.0004924773808450586,
precipitation_sum_30d,0.27343364159234745,0.22656635840765255,0.0,0.005117633658650848,0.0007382810440067448,
agriculture,0.5332671219970467,0.033267121997046734,0.0,0.004904539971948248,0.0003861873393485241,
wind_speed_max_anom,0.49470844755447935,0.005291552445520653,0.0,0.003533700137248408,0.0004853266494922429,
precipitation_sum,0.2644911423861475,0.23550885761385248,0.0,0.003301324422072316,0.0006279402713852649,
relative_humidity_min,0.22660400148432902,0.273395998515671,0.0,0.0030666320920975654,0.0006130263746774662,
scrub,0.5104927256511472,0.010492725651147228,0.0,0.0030014371948992777,0.0004695685843331102,
temperature_mean_7d,0.6826326652761037,0.18263266527610367,0.0,0.002789753378945122,0.00041881299398821835,
temperature_max_12_18h,0.740425401485562,0.24042540148556202,0.0,0.00242335856818765,0.000481013004105924,
road_length_main_km,0.5538429065874614,0.05384290658746138,0.0,0.0024151443970881203,0.0004921365071758481,
slope_mean,0.4895938978741573,0.010406102125842698,0.0,0.0023563297230234648,8.969185532993654e-05,
road_length_km,0.5773829787500501,0.07738297875005007,0.0,0.0015699519931477262,0.00023333468123903968,
aspect_315_360_fraction,0.4793944632254793,0.020605536774520705,0.0,0.0015050709688899284,7.898882706410452e-05,
vpd_max_12_18h,0.7852566971097972,0.2852566971097972,0.0,0.0014825302417996733,0.00019706575387316096,
relative_humidity_min_anom,0.28968961195123755,0.21031038804876245,0.0,0.0012707464515016031,0.00011864995113395695,
slope_std,0.504289231062089,0.004289231062089005,0.0,0.001027715331245127,0.00012317248898737374,
temperature_max_anom,0.6925732967401792,0.1925732967401792,0.0,0.0009943406402460608,8.627533421917841e-05,
residential_area_fraction,0.5678100027089389,0.06781000270893889,0.0,0.0009781020168021144,0.00018944708445625178,
aspect_000_045_fraction,0.47522602454152263,0.02477397545847737,0.0,0.0009669611549072421,0.00012008834421883744,
aspect_180_225_fraction,0.5113433228508056,0.011343322850805637,0.0,0.0009589501874743093,0.0002212138842648826,
forestal,0.4673390142699044,0.032660985730095626,0.0,0.0009494051951075185,0.00011880964624280747,
relative_humidity_mean,0.21949868339015813,0.2805013166098419,0.0,0.0009437071224975835,0.00031472003067902334,
temperature_mean,0.6986800569686396,0.19868005696863955,0.0,0.0009241428408763112,6.0222561125916735e-05,
temperature_min,0.6375238466586413,0.13752384665864126,0.0,0.0009101115579480309,0.00011693156600728314,
dia_anio_cos,0.3613496503233772,0.13865034967662282,0.0,0.0009041135623061672,0.0008902615304935297,
aspect_270_315_fraction,0.4843916049673386,0.015608395032661426,0.0,0.0008364193065084624,9.216570360159571e-05,
aspect_225_270_fraction,0.49629973590735194,0.0037002640926480646,0.0,0.0007718293703405191,0.0002746055354050024,
wind_speed_max_z_dia,0.4772483406303851,0.022751659369614874,0.0,0.0007245963752782932,0.00022383339922860137,
elevation_std,0.5000682951256054,6.829512560535544e-05,0.0,0.000697501003075048,0.0001621011529697378,
precipitation_sum_7d_anom,0.3535845475070055,0.14641545249299448,0.0,0.0006732458322348626,0.00018268774715722225,
vpd_x_forestal,0.6134677013940053,0.1134677013940053,0.0,0.000620329179468119,7.94470158756695e-05,
coniferous_forest,0.4860786375501327,0.013921362449867303,0.0,0.0005320722936001202,9.368921327759524e-05,
broadleaf_forest,0.4735378377696223,0.026462162230377673,0.0,0.000498065671747779,5.0071903133150265e-05,
aspect_135_180_fraction,0.519866632634738,0.01986663263473798,0.0,0.0004914576001093055,0.0002074710856878059,
precipitation_sum_7d,0.21991981588848578,0.28008018411151425,0.0,0.00048484859847686135,0.00024372307645166582,
precipitation_sum_7d_z_dia,0.3988347237036397,0.1011652762963603,0.0,0.00044504904463712097,0.00039681024987928804,
aspect_090_135_fraction,0.5070876808977801,0.007087680897780113,0.0,0.00038876581396155946,0.00024590801359875404,
aspect_045_090_fraction,0.48987647190179073,0.010123528098209267,0.0,0.0003314874898155222,0.00011485077247887145,
temperature_max_z_dia,0.5626330577447138,0.06263305774471384,0.0,0.0003027241735571821,8.13650878373324e-05,
dia_anio_sin,0.4604561738568509,0.03954382614314911,0.0,0.000301447756933008,0.0004016035271140311,
road_length_track_km,0.4854236066689993,0.014576393331000692,0.0,0.00023063430160308318,0.00018084705431329565,
wind_speed_max_12_18h,0.4496839288631858,0.05031607113681419,0.0,0.00018967876534873676,0.0001819389647669278,
wind_speed_mean,0.438323943436738,0.06167605656326203,0.0,0.00017080965416571559,0.00031221135145410785,
es_finde,0.5161639466812993,0.01616394668129928,0.0,3.465808257752112e-05,0.00011308023442820651,
building_area_fraction,0.5409949303729472,0.040994930372947214,0.0,3.239866240356548e-05,0.000204580616807752,
artificial,0.5361515074301224,0.03615150743012241,0.0,2.716279676073796e-05,0.00015126051949821925,
wetlands,0.5001227436426636,0.00012274364266362525,0.0,0.0,0.0,
open_spaces,0.5063779215502068,0.006377921550206778,0.0,-1.4773883055411533e-05,3.585062254577988e-05,
ratio_termico_eolico,0.7163326743701235,0.2163326743701235,0.0,-5.241910603159816e-05,7.989094540179893e-05,
water,0.503095782185894,0.0030957821858940138,0.0,-6.05821274668091e-05,3.9341732114412356e-05,
mixed_forest,0.4946200635078563,0.005379936492143689,0.0,-8.482985835582084e-05,2.4783856305185508e-05,
wind_speed_max,0.44396175945392724,0.05603824054607276,0.0,-0.00019338386103636326,0.0001555799730073084,
relative_humidity_min_z_dia,0.4007590025016261,0.0992409974983739,0.0,-0.0002619611460398241,0.00014361764152465452,
